Movement ID,Date Delivery Departure.Date,Origin City,Origin State,Origin Zip,Destination City,Destination State,Destination Zip,Linehaul + FSC,Carrier Name,Carrier ID,Customer Name,Customer ID,PCMiler Miles,Origin Lat,Origin Lon,Dest Lat,Dest Lon,Bearing,RPM
168171,4/10/2025 0:00,LONG BEACH,CA,90802,PHOENIX,AZ,85034,1825.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,382.90,33.75,-118.20,33.44,-112.03,91.81889398,4.77
168184,4/14/2025 0:00,LONG BEACH,CA,90802,PHOENIX,AZ,85019,1825.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,378.26,33.75,-118.20,33.51,-112.14,91.05336831,4.82
184001,6/16/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
184002,6/18/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
187700,7/3/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
188581,7/14/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
190464,7/10/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
190465,7/9/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
191057,7/11/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
191060,7/17/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.00,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.56
170462,4/10/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
170463,4/11/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
171431,4/9/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
171432,4/9/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
171433,4/9/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
171434,4/11/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
171436,4/11/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
172286,4/9/2025 0:00,LONG BEACH,CA,90802,CARSON,CA,90745,425.00,Supra National Express Inc,SUPRCACA,Floor and Decor Corporation,FLOOATGA,11.40,33.75,-118.20,33.84,-118.28,322.5713418,37.30
167792,4/18/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
167799,4/27/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
167800,4/18/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
167846,4/10/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
167852,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
167853,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
167854,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
167856,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169272,4/17/2025 0:00,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,750.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,105.89,33.75,-118.20,32.81,-117.13,136.457344,7.08
169351,4/9/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
169352,4/9/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
169353,4/9/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
169354,4/10/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
169356,4/10/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
169358,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169360,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169362,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169363,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169365,4/10/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169366,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169367,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169369,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169374,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169375,4/9/2025 0:00,LONG BEACH,CA,90813,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,61.99,33.78,-118.20,34.13,-117.45,60.54059998,8.23
169439,4/10/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
169440,4/14/2025 0:00,LONG BEACH,CA,90802,FONTANA,CA,92336,510.00,SOUTH BAY DRAYAGE INC,SOUTTOCA,"FNS, Inc",LGFON,63.71,33.75,-118.20,34.13,-117.45,58.21369496,8.01
