origin_zip,destination_zip,date,carrier,order_type,origin_lat,origin_lng,destination_lat,destination_lng,miles,rate,RPM,bearing_degree,cardinal_direction,calculated_miles,distance_variance,lat_diff,lng_diff,route_center_lat,route_center_lng,distance_log,distance_squared,distance_sqrt,total_rate,rate_per_mile,rate_per_mile_log,month,day_of_week,quarter,is_weekend,season,distance_category,rate_efficiency,geographic_complexity
93109,90802,2025-08-11,C.H. Robinson,export,34.406408,-119.726927,33.745762,-118.208042,98.11,555.44,5.66,117.27785390664616,SE,98.11122750926316,0.0012275092631597317,0.6606459999999998,1.5188849999999974,34.076085,-118.96748450000001,4.596230344418617,9625.5721,9.905049217444606,555.44,5.6614004688614825,1.8963297430562613,8,0,3,0,Summer,Long,5.661329636789615,2.179530999999997
90802,90241,2024-09-17,MTK Transportation,import,33.745762,-118.208042,33.940445,-118.129022,14.19,321.28,22.65,18.607937217768495,N,14.185211485032756,0.004788514967243529,0.19468299999999772,0.07901999999999987,33.8431035,-118.168532,2.7206373166076814,201.3561,3.7669616403674726,321.28,22.641296687808314,3.1629950424637445,9,1,3,0,Fall,Short,22.648939731282272,0.2737029999999976
90802,93208,2024-11-14,JT Freight Trucking,import,33.745762,-118.208042,36.056587,-118.568462,160.85,741.05,4.61,352.8130736306462,N,160.85106331865137,0.0010633186513757664,2.3108250000000012,0.36041999999999064,34.901174499999996,-118.388252,5.086669980372253,25872.7225,12.682665335015349,741.05,4.607087348461299,1.724031395486627,11,3,4,0,Fall,Very_Long,4.607056892946707,2.671244999999992
90802,91010,2025-01-06,Ape Express Trucking,import,33.745762,-118.208042,34.141586,-117.957627,30.87,392.67,12.72,27.622086153378177,NE,30.865033434456514,0.004966565543487178,0.3958239999999975,0.25041500000000383,33.943674,-118.0828345,3.461665128429245,952.9569,5.55607775323564,392.67,12.720116618075801,2.618863122121368,1,0,1,0,Winter,Medium,12.722163442131205,0.6462390000000013
90802,91377,2024-12-16,MTK Transportation,import,33.745762,-118.208042,34.184974,-118.766912,44.09,403.17,9.14,313.6138132799947,NW,44.08895842524077,0.0010415747592347202,0.4392119999999977,0.5588699999999989,33.965368,-118.48747700000001,3.8086604924329928,1943.9281000000003,6.640030120413612,403.17,9.1442503969154,2.3169070816287247,12,0,4,0,Winter,Medium,9.144466424255254,0.9980819999999966
90802,93304,2025-04-13,XPO Logistics,import,33.745762,-118.208042,35.339702,-119.023452,119.42,627.53,5.25,337.3805598755688,NW,119.42416560156732,0.0041656015673225966,1.5939400000000035,0.81541,34.542732,-118.615747,4.790985632036302,14261.136400000001,10.927945827098522,627.53,5.254814938871211,1.8333515573694799,4,6,2,1,Spring,Very_Long,5.254631647112502,2.4093500000000034
90802,91605,2024-11-13,Amazon Trucking,import,33.745762,-118.208042,34.207341,-118.400973,33.73,380.52,11.28,340.9366534438825,N,33.72998954373327,1.0456266728908759e-05,0.4615790000000004,0.1929309999999873,33.9765515,-118.3045075,3.5476038667559826,1137.7128999999998,5.807753438292641,380.52,11.281351912244293,2.5080820072331136,11,2,4,0,Fall,Medium,11.281355409453342,0.6545099999999877
90802,92624,2024-08-21,MTK Transportation,import,33.745762,-118.208042,33.449184,-117.655588,37.8,392.97,10.4,122.64888988127649,SE,37.79921562512883,0.0007843748711664489,0.2965779999999967,0.5524540000000115,33.597473,-117.931815,3.6584202466292277,1428.8399999999997,6.148170459575759,392.97,10.396031746031747,2.4332652023488532,8,2,3,0,Summer,Medium,10.396247475007245,0.8490320000000082
90802,92672,2025-04-30,Schneider National,import,33.745762,-118.208042,33.42411,-117.606775,41.1,412.74,10.04,122.54012854900236,SE,41.10099911005388,0.0009991100538755404,0.32165200000000027,0.6012670000000071,33.584936,-117.9074085,3.7400477406883357,1689.21,6.410928169929843,412.74,10.042335766423358,2.401736591516123,4,2,2,0,Spring,Medium,10.042091650736491,0.9229190000000074
90802,92029,2024-12-09,United Logistic Services Group,import,33.745762,-118.208042,33.0824,-117.127641,77.3,477.72,6.18,126.0389228361962,SE,77.2969826446496,0.0030173553503942685,0.6633619999999993,1.080401000000009,33.414080999999996,-117.66784150000001,4.360547602996758,5975.29,8.792041856133306,477.72,6.180077619663649,1.971310193539812,12,0,4,0,Winter,Long,6.18031886440094,1.7437630000000084
